2024-02-20 14:24:27,359 INFO    StreamThr :61239 [internal.py:wandb_internal():86] W&B internal server running at pid: 61239, started at: 2024-02-20 14:24:27.358936
2024-02-20 14:24:27,361 DEBUG   HandlerThread:61239 [handler.py:handle_request():146] handle_request: status
2024-02-20 14:24:27,363 INFO    WriterThread:61239 [datastore.py:open_for_write():87] open: /home/kapi/Programming/Internship/cnn-mnist/wandb/run-20240220_142427-8352hz5i/run-8352hz5i.wandb
2024-02-20 14:24:27,366 DEBUG   SenderThread:61239 [sender.py:send():382] send: header
2024-02-20 14:24:27,369 DEBUG   SenderThread:61239 [sender.py:send():382] send: run
2024-02-20 14:24:27,968 INFO    SenderThread:61239 [dir_watcher.py:__init__():211] watching files in: /home/kapi/Programming/Internship/cnn-mnist/wandb/run-20240220_142427-8352hz5i/files
2024-02-20 14:24:27,968 INFO    SenderThread:61239 [sender.py:_start_run_threads():1136] run started: 8352hz5i with start time 1708435467.358579
2024-02-20 14:24:27,976 DEBUG   HandlerThread:61239 [handler.py:handle_request():146] handle_request: check_version
2024-02-20 14:24:27,976 DEBUG   SenderThread:61239 [sender.py:send_request():409] send_request: check_version
2024-02-20 14:24:28,260 DEBUG   HandlerThread:61239 [handler.py:handle_request():146] handle_request: run_start
2024-02-20 14:24:28,277 DEBUG   HandlerThread:61239 [system_info.py:__init__():27] System info init
2024-02-20 14:24:28,277 DEBUG   HandlerThread:61239 [system_info.py:__init__():42] System info init done
2024-02-20 14:24:28,278 INFO    HandlerThread:61239 [system_monitor.py:start():194] Starting system monitor
2024-02-20 14:24:28,278 INFO    SystemMonitor:61239 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-20 14:24:28,280 INFO    HandlerThread:61239 [system_monitor.py:probe():214] Collecting system info
2024-02-20 14:24:28,280 INFO    SystemMonitor:61239 [interfaces.py:start():190] Started cpu monitoring
2024-02-20 14:24:28,281 INFO    SystemMonitor:61239 [interfaces.py:start():190] Started disk monitoring
2024-02-20 14:24:28,284 INFO    SystemMonitor:61239 [interfaces.py:start():190] Started gpu monitoring
2024-02-20 14:24:28,284 INFO    SystemMonitor:61239 [interfaces.py:start():190] Started memory monitoring
2024-02-20 14:24:28,285 INFO    SystemMonitor:61239 [interfaces.py:start():190] Started network monitoring
2024-02-20 14:24:28,294 DEBUG   HandlerThread:61239 [system_info.py:probe():151] Probing system
2024-02-20 14:24:28,297 DEBUG   HandlerThread:61239 [system_info.py:_probe_git():136] Probing git
2024-02-20 14:24:28,304 DEBUG   HandlerThread:61239 [system_info.py:_probe_git():144] Probing git done
2024-02-20 14:24:28,304 DEBUG   HandlerThread:61239 [system_info.py:probe():199] Probing system done
